month_year,month_num,total_revenue,total_cost,total_profit,total_orders,avg_order_value,unique_customers,profit_margin_pct,revenue_mom_pct
2023-01,1,7955126.05,4212583.754435157,3742542.31,917,8675.164721919302,194,47.05,
2023-02,2,6799297.11,3628104.3925001654,3171192.7,777,8750.704131274131,196,46.64,-14.529360474432707
2023-03,3,7944104.25,4219398.3002123805,3724705.93,886,8966.257618510159,200,46.89,16.837139508380726
2023-04,4,7865039.37,4101785.990424796,3763253.39,871,9029.895947187142,198,47.85,-0.9952648846469958
2023-05,5,8208417.4,4317356.174704703,3891061.23,855,9600.488187134504,195,47.4,4.365878082057217
2023-06,6,7298381.55,3846162.811727111,3452218.74,827,8825.12883917775,199,47.3,-11.086617622539519
2023-07,7,7662991.89,4083270.3737652428,3579721.52,903,8486.14827242525,195,46.71,4.995769781315418
2023-08,8,7217130.88,3784434.299051857,3432696.55,830,8695.338409638554,199,47.56,-5.8183672435023315
2023-09,9,7298104.86,3866076.1677600094,3432028.71,894,8163.428255033557,195,47.03,1.1219691224443995
2023-10,10,7856959.0,4185967.003175546,3670992.01,953,8244.448058761805,198,46.72,7.657524120583825
2023-11,11,7656014.52,4069793.928750411,3586220.6,860,8902.342465116279,196,46.84,-2.557535046320092
2023-12,12,7685526.75,4076245.410904433,3609281.34,891,8625.731481481482,196,46.96,0.3854777171974355
