sku,product_name,category,total_revenue,total_cost,total_profit,units_sold,order_count,profit_margin_pct,revenue_rank,profit_rank
SKU-037,Electronics Item SKU-037,Electronics,4806788.61,2658691.78865684,2148096.81,7678,285,44.69,1,1
SKU-002,Electronics Item SKU-002,Electronics,4698584.81,2567793.013859256,2130791.8,7474,284,45.35,2,2
SKU-013,Electronics Item SKU-013,Electronics,4482932.84,2430041.3575773714,2052891.48,7045,271,45.79,3,3
SKU-014,Electronics Item SKU-014,Electronics,4419369.46,2432390.0342221195,1986979.42,6825,271,44.96,4,5
SKU-036,Electronics Item SKU-036,Electronics,4383281.87,2404879.9525903263,1978401.91,6723,261,45.14,5,6
SKU-009,Electronics Item SKU-009,Electronics,4364972.06,2400592.163081928,1964379.91,7136,273,45.0,6,7
SKU-001,Electronics Item SKU-001,Electronics,4320110.72,2391463.021444736,1928647.7,6703,258,44.64,7,8
SKU-006,Furniture Item SKU-006,Furniture,4037597.99,2022858.4445749102,2014739.56,7717,294,49.9,8,4
SKU-028,Electronics Item SKU-028,Electronics,3935942.65,2200322.064100488,1735620.59,6413,253,44.1,9,15
SKU-007,Electronics Item SKU-007,Electronics,3855707.32,2098789.519438383,1756917.8,5875,230,45.57,10,13
SKU-019,Electronics Item SKU-019,Electronics,3847762.25,2101687.6664677965,1746074.6,6065,238,45.38,11,14
SKU-034,Furniture Item SKU-034,Furniture,3803303.72,1908340.6641615287,1894963.04,7472,268,49.82,12,9
SKU-021,Furniture Item SKU-021,Furniture,3668922.96,1840491.1752406706,1828431.79,7192,267,49.84,13,10
SKU-024,Furniture Item SKU-024,Furniture,3593167.04,1804204.2406545929,1788962.8,7350,280,49.79,14,11
SKU-029,Furniture Item SKU-029,Furniture,3521801.82,1750120.817739942,1771681.01,6881,267,50.31,15,12
SKU-012,Electronics Item SKU-012,Electronics,3520397.05,1909607.1029056613,1610789.95,5984,244,45.76,16,18
SKU-016,Furniture Item SKU-016,Furniture,3307254.02,1655475.9579637398,1651778.03,6686,259,49.94,17,16
SKU-005,Furniture Item SKU-005,Furniture,3264238.31,1616778.7714435074,1647459.55,6730,265,50.47,18,17
SKU-033,Furniture Item SKU-033,Furniture,3160798.55,1584723.1617131636,1576075.39,6691,259,49.86,19,19
SKU-004,Furniture Item SKU-004,Furniture,3146837.67,1576052.9641223743,1570784.69,6743,259,49.92,20,20
SKU-015,Furniture Item SKU-015,Furniture,2947218.33,1497579.283362548,1449639.05,6247,248,49.19,21,21
SKU-035,Clothing Item SKU-035,Clothing,980881.71,395872.6757817775,585009.04,7098,270,59.64,22,22
SKU-032,Clothing Item SKU-032,Clothing,872372.93,351477.70151281555,520895.22,6566,263,59.71,23,23
SKU-098,Office Supplies Item SKU-098,Office Supplies,853997.24,814617.0153864403,39380.22,20288,284,4.61,24,39
SKU-027,Clothing Item SKU-027,Clothing,843495.0599999999,335670.5727187508,507824.48,6585,271,60.2,25,24
SKU-031,Clothing Item SKU-031,Clothing,836637.4,333136.69495034934,503500.7,6134,237,60.18,26,25
SKU-003,Clothing Item SKU-003,Clothing,803196.39,328436.37295441946,474760.02,6296,235,59.11,27,26
SKU-099,Office Supplies Item SKU-099,Office Supplies,735057.71,697208.449414461,37849.26,17397,241,5.15,28,40
SKU-025,Office Supplies Item SKU-025,Office Supplies,532917.99,240761.80121418674,292156.19,6797,250,54.82,29,27
SKU-011,Office Supplies Item SKU-011,Office Supplies,532912.91,243649.70294309067,289263.2,7027,288,54.28,30,28
SKU-038,Office Supplies Item SKU-038,Office Supplies,524945.0,236644.11505094686,288300.87,6975,269,54.92,31,29
SKU-023,Office Supplies Item SKU-023,Office Supplies,492479.33,222324.8458941593,270154.49,6136,257,54.86,32,30
SKU-030,Office Supplies Item SKU-030,Office Supplies,487250.2,222492.7607178748,264757.45,6648,259,54.34,33,31
SKU-020,Food & Beverage Item SKU-020,Food & Beverage,302392.4,182126.83471330933,120265.56,7245,279,39.77,34,33
SKU-022,Food & Beverage Item SKU-022,Food & Beverage,299970.43,178027.14628806725,121943.3,6961,263,40.65,35,32
SKU-010,Food & Beverage Item SKU-010,Food & Beverage,285989.56,171280.63457966043,114708.94,7183,274,40.11,36,34
SKU-018,Food & Beverage Item SKU-018,Food & Beverage,270970.32,163508.09036056706,107462.25,7078,269,39.66,37,36
SKU-026,Food & Beverage Item SKU-026,Food & Beverage,265548.3,157071.95202130073,108476.35,6288,258,40.85,38,35
SKU-017,Food & Beverage Item SKU-017,Food & Beverage,227204.44,135212.02322534838,91992.41,5548,238,40.49,39,37
SKU-008,Food & Beverage Item SKU-008,Food & Beverage,211884.26,128776.0523624025,83108.2,5299,225,39.22,40,38
